id,brightness,url,,
arxiv-astro-ph0009097,241.6688242,"<a href=""http://www.archive.org/details/arxiv-astro-ph0009097"">link</a>",,
nasa_techdoc_19990081130,241.6039625,"<a href=""http://www.archive.org/details/nasa_techdoc_19990081130"">link</a>",,
philtrans08993772,241.5993161,"<a href=""http://www.archive.org/details/philtrans08993772"">link</a>",,
arxiv-1007.2940,241.5848585,"<a href=""http://www.archive.org/details/arxiv-1007.2940"">link</a>",,
arxiv-1107.0186,241.5639365,"<a href=""http://www.archive.org/details/arxiv-1107.0186"">link</a>",,
nasa_techdoc_20030106572,241.5602686,"<a href=""http://www.archive.org/details/nasa_techdoc_20030106572"">link</a>",,
nasa_techdoc_19750005989,241.5117728,"<a href=""http://www.archive.org/details/nasa_techdoc_19750005989"">link</a>",,
arxiv-astro-ph9411067,241.4683457,"<a href=""http://www.archive.org/details/arxiv-astro-ph9411067"">link</a>",,
arxiv-astro-ph0609252,241.4311337,"<a href=""http://www.archive.org/details/arxiv-astro-ph0609252"">link</a>",,
nasa_techdoc_19730009136,241.4120116,"<a href=""http://www.archive.org/details/nasa_techdoc_19730009136"">link</a>",,
arxiv-astro-ph0406442,241.3959918,"<a href=""http://www.archive.org/details/arxiv-astro-ph0406442"">link</a>",,
nasa_techdoc_20020023448,241.3759314,"<a href=""http://www.archive.org/details/nasa_techdoc_20020023448"">link</a>",,
nasa_techdoc_19700002674,241.2859365,"<a href=""http://www.archive.org/details/nasa_techdoc_19700002674"">link</a>",,
arxiv-astro-ph9910245,241.2836356,"<a href=""http://www.archive.org/details/arxiv-astro-ph9910245"">link</a>",,
arxiv-0807.4750,241.2616505,"<a href=""http://www.archive.org/details/arxiv-0807.4750"">link</a>",,
jstor-40666893,241.1493478,"<a href=""http://www.archive.org/details/jstor-40666893"">link</a>",,
arxiv-0807.1143,241.0133034,"<a href=""http://www.archive.org/details/arxiv-0807.1143"">link</a>",,
nasa_techdoc_19970026575,240.9808588,"<a href=""http://www.archive.org/details/nasa_techdoc_19970026575"">link</a>",,
arxiv-astro-ph0604348,240.9726403,"<a href=""http://www.archive.org/details/arxiv-astro-ph0604348"">link</a>",,
jstor-40666872,240.9645282,"<a href=""http://www.archive.org/details/jstor-40666872"">link</a>",,
nasa_techdoc_19850001749,240.9226071,"<a href=""http://www.archive.org/details/nasa_techdoc_19850001749"">link</a>",,
arxiv-1107.5560,240.9073927,"<a href=""http://www.archive.org/details/arxiv-1107.5560"">link</a>",,
arxiv-astro-ph0107545,240.9035052,"<a href=""http://www.archive.org/details/arxiv-astro-ph0107545"">link</a>",,
arxiv-1107.1728,240.8971859,"<a href=""http://www.archive.org/details/arxiv-1107.1728"">link</a>",,
arxiv-astro-ph0107318,240.8647863,"<a href=""http://www.archive.org/details/arxiv-astro-ph0107318"">link</a>",,
arxiv-astro-ph0604089,240.8601565,"<a href=""http://www.archive.org/details/arxiv-astro-ph0604089"">link</a>",,
arxiv-astro-ph9407088,240.8354326,"<a href=""http://www.archive.org/details/arxiv-astro-ph9407088"">link</a>",,
philtrans02292188,240.803769,"<a href=""http://www.archive.org/details/philtrans02292188"">link</a>",,
nasa_techdoc_19860002717,240.7974025,"<a href=""http://www.archive.org/details/nasa_techdoc_19860002717"">link</a>",,
nasa_techdoc_19820009141,240.7931859,"<a href=""http://www.archive.org/details/nasa_techdoc_19820009141"">link</a>",,
arxiv-astro-ph9407097,240.7601736,"<a href=""http://www.archive.org/details/arxiv-astro-ph9407097"">link</a>",,
arxiv-astro-ph9906084,240.7376331,"<a href=""http://www.archive.org/details/arxiv-astro-ph9906084"">link</a>",,
